Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Ca,Ca 2-Sigma,K,K 2-Sigma,
3942,Mining,19.81,19.16,,,,"Fri Mar 7, 2025 - 05:23:44",User,1.5,ppm,,,,,LA 24_17,Mining,154.5793 , 135.8221,2078.3245 , 100.5912,<LOD,71.3896,893437.0625 , 1079.4587,324.0274 , 27.6886,<LOD,23.8501,<LOD,75.2886,<LOD,157.2225,40.4933 , 9.1089,10110.6953 , 139.9891,<LOD,0.0000,109.1573 , 15.1799,<LOD,82.6502,9.4507 , 2.6868,175.2533 , 3.2034,<LOD,19.7986,82349.8281 , 116.2970,<LOD,19.9756,<LOD,8.9622,<LOD,0.0000,640.2747 , 520.3962,31.4135 , 12.2296,1358.1199 , 22.8613,<LOD,3.8138,<LOD,0.0000,<LOD,55.4019,9044.6494 , 425.7144,<LOD,10.5249,<LOD,405.4336,<LOD,22.3929,<LOD,22.1428,88.1602 , 8.0628,48.5740 , 6.8832,,,,,
3943,Mining,19.69,18.94,,,,"Fri Mar 7, 2025 - 05:24:13",User,1.5,ppm,,,,,LA 24_17,Mining,123.5608 , 108.6031,1812.7070 , 87.6169,<LOD,62.0048,909848.6250 , 826.4210,331.9637 , 24.2265,<LOD,21.0583,<LOD,69.9137,<LOD,95.4870,35.9015 , 8.1901,8297.1904 , 120.4835,<LOD,0.0000,91.4637 , 13.2595,<LOD,78.1098,6.3217 , 2.2601,145.5583 , 2.6704,<LOD,17.1928,70600.6406 , 96.0947,<LOD,17.5804,<LOD,7.5022,<LOD,0.0000,457.2929 , 371.7959,53.5628 , 10.7755,1351.0674 , 20.5107,<LOD,3.2006,<LOD,0.0000,<LOD,47.5976,6540.2222 , 357.6472,<LOD,9.0948,207.0872 , 129.7114,<LOD,23.6770,<LOD,18.5844,96.8115 , 7.5339,<LOD,13.5517,,,,,
3944,Mining,19.78,19.16,,,,"Fri Mar 7, 2025 - 05:24:43",User,1.5,ppm,,,,,LA 24_17,Mining,<LOD,10.7916,377.0588 , 38.1731,<LOD,25.0145,967174.9375 , 346.6538,106.1761 , 10.1036,<LOD,12.3093,<LOD,31.9188,<LOD,56.9467,10.8163 , 4.6149,3929.1992 , 64.7136,<LOD,0.0000,59.8878 , 6.2615,<LOD,33.5644,<LOD,1.9145,41.2486 , 1.2122,<LOD,9.0041,23214.5000 , 37.1480,<LOD,10.2855,23.8119 , 2.2149,<LOD,0.0000,<LOD,22.7812,20.0406 , 4.5014,103.3779 , 10.1535,<LOD,1.3320,<LOD,0.0000,<LOD,19.2794,4750.9961 , 248.1881,<LOD,3.9006,<LOD,177.2031,<LOD,10.6997,<LOD,6.7928,70.4016 , 4.4606,117.5400 , 2.5541,,,,,
3945,Mining,20.07,19.30,,,,"Fri Mar 7, 2025 - 05:26:05",User,1.5,ppm,,,,,LA 24_11,Mining,<LOD,6.7696,13.6499 , 3.2029,<LOD,3.4533,994686.2500 , 163.5813,<LOD,1.6485,<LOD,8.1851,<LOD,22.1866,<LOD,37.1439,19.9201 , 3.1802,3928.3887 , 49.6798,<LOD,0.0000,<LOD,1.9367,<LOD,21.2069,<LOD,1.2455,3.6976 , 0.6344,<LOD,5.5773,237.9777 , 3.1944,<LOD,7.1384,9.5056 , 0.7045,<LOD,0.0000,<LOD,14.0206,<LOD,0.9192,<LOD,9.0480,7.9868 , 0.3177,<LOD,0.0000,<LOD,2.9068,947.9536 , 136.0308,<LOD,2.1528,<LOD,83.0510,<LOD,0.0000,6.2130 , 0.6540,58.4870 , 2.8256,79.9203 , 1.0838,,,,,
3946,Mining,19.33,18.97,,,,"Fri Mar 7, 2025 - 05:26:33",User,1.5,ppm,,,,,LA 24_11,Mining,<LOD,8.4118,35.3563 , 5.1332,<LOD,5.2968,985612.1875 , 271.6731,<LOD,2.5486,<LOD,10.0369,<LOD,38.0395,<LOD,56.9765,47.2100 , 4.5351,9259.6338 , 84.0479,<LOD,0.0000,<LOD,2.5340,39.1817 , 21.2258,<LOD,1.3759,<LOD,1.4322,<LOD,7.8716,446.0807 , 5.0496,<LOD,8.5793,21.4591 , 1.0327,<LOD,0.0000,<LOD,17.7337,<LOD,1.3808,<LOD,11.4770,13.5176 , 0.4403,<LOD,0.0000,<LOD,2.7734,3368.4856 , 204.3390,<LOD,1.6628,1002.5215 , 102.6027,<LOD,0.0000,4.9550 , 0.8761,32.0459 , 2.8043,117.3840 , 1.4990,,,,,
3947,Mining,19.17,19.03,,,,"Fri Mar 7, 2025 - 05:27:02",User,1.5,ppm,,,,,LA 24_11,Mining,<LOD,8.6397,34.3784 , 5.4883,<LOD,5.6933,985242.3750 , 280.9098,<LOD,2.6901,<LOD,10.3042,<LOD,38.7424,<LOD,57.4107,55.3487 , 4.8217,9294.4404 , 85.5900,<LOD,0.0000,<LOD,2.6242,<LOD,34.6216,<LOD,1.4043,1.2257 , 0.7410,10.8372 , 5.2703,500.4690 , 5.4353,<LOD,8.8432,24.2446 , 1.0943,<LOD,0.0000,<LOD,18.2184,<LOD,1.4935,<LOD,11.8274,16.6429 , 0.4794,<LOD,0.0000,<LOD,4.5825,3516.4783 , 210.4541,<LOD,1.6855,1140.9387 , 107.7909,<LOD,0.0000,5.1370 , 0.9214,39.5527 , 3.0390,117.8935 , 1.5357,,,,,
3948,Mining,19.70,19.26,,,,"Fri Mar 7, 2025 - 05:29:01",User,1.5,ppm,,,,,LA 24_8,Mining,134.7957 , 118.4882,15870.2119 , 86.3480,70.1302 , 35.6449,698461.2500 , 2603.1746,173.8281 , 22.3061,<LOD,23.1155,<LOD,283.8812,<LOD,95.2932,812.7183 , 24.0207,252664.1875 , 387.7061,<LOD,0.0000,<LOD,19.9025,<LOD,86.2114,3.8467 , 2.2920,22.0325 , 2.3256,<LOD,53.9598,27219.9102 , 70.4740,<LOD,19.6574,60.2842 , 4.5646,<LOD,0.0000,388.0751 , 315.5467,12.3647 , 9.2479,495.9367 , 19.6165,26.5040 , 1.8227,<LOD,0.0000,<LOD,38.2506,3020.8362 , 187.3333,<LOD,6.8683,<LOD,191.7588,<LOD,26.3189,<LOD,13.1625,494.3586 , 15.8154,68.7557 , 4.2562,,,,,
3949,Mining,19.94,19.85,,,,"Fri Mar 7, 2025 - 05:29:30",User,1.5,ppm,,,,,LA 24_8,Mining,137.3250 , 120.7144,14162.7539 , 83.3461,66.0739 , 34.6174,705193.1875 , 2565.2974,181.9202 , 21.6627,<LOD,22.8859,<LOD,242.4871,<LOD,93.2319,732.0718 , 22.8305,247941.5938 , 385.6818,<LOD,0.0000,<LOD,19.3262,<LOD,83.8537,<LOD,5.2887,16.2124 , 2.2255,56.8188 , 29.5554,26757.2812 , 69.0879,<LOD,19.4694,54.7680 , 4.4793,<LOD,0.0000,369.4742 , 300.4294,<LOD,18.7700,481.4162 , 19.2972,26.7990 , 1.7966,<LOD,0.0000,<LOD,37.3869,3301.1233 , 192.4149,<LOD,10.5888,<LOD,249.0946,<LOD,32.8298,<LOD,12.9442,459.4073 , 15.1979,61.8065 , 4.1074,,,,,
3950,Mining,20.24,19.94,,,,"Fri Mar 7, 2025 - 05:29:58",User,1.5,ppm,,,,,LA 24_8,Mining,97.6700 , 85.8796,11831.1396 , 71.8086,66.5927 , 29.9954,730506.5000 , 2084.8289,156.1145 , 18.5869,<LOD,20.1833,<LOD,217.7737,<LOD,85.6689,674.4088 , 20.1810,228631.4375 , 346.9109,<LOD,0.0000,<LOD,16.3340,85.2699 , 39.2353,3.5919 , 2.0169,15.3594 , 1.9313,55.2062 , 25.9006,24048.0742 , 60.0525,<LOD,16.9834,45.9180 , 3.7967,<LOD,0.0000,231.5196 , 188.3064,<LOD,11.5887,421.6183 , 17.1242,32.4681 , 1.6335,<LOD,0.0000,<LOD,32.0556,2645.7576 , 170.5333,<LOD,5.9759,<LOD,160.6595,<LOD,22.5191,<LOD,11.1270,384.5495 , 12.8933,66.7988 , 3.6144,,,,,
3951,Mining,19.82,19.95,,,,"Fri Mar 7, 2025 - 05:32:15",User,1.5,ppm,,,,,LA 24_1,Mining,17.7548 , 15.6180,94.6839 , 10.4040,<LOD,8.0068,929974.3125 , 564.3190,<LOD,7.0442,<LOD,14.3874,<LOD,132.1621,<LOD,56.5265,838.0754 , 15.2595,63748.0977 , 185.9261,<LOD,0.0000,<LOD,5.3087,232.8772 , 30.1181,<LOD,2.0341,7.2565 , 0.9778,25.3366 , 9.6922,1474.9004 , 10.4437,19.1389 , 7.4662,84.0270 , 2.1056,<LOD,0.0000,43.7369 , 35.5882,<LOD,2.1990,56.5970 , 9.8205,63.8342 , 0.9367,<LOD,0.0000,<LOD,5.5975,2280.8372 , 169.4281,<LOD,2.4449,<LOD,149.1210,<LOD,21.0018,16.7267 , 1.6147,884.6452 , 12.5901,137.1694 , 1.9639,,,,,
3952,Mining,19.71,19.07,,,,"Fri Mar 7, 2025 - 05:32:44",User,1.5,ppm,,,,,LA 24_1,Mining,<LOD,10.0988,176.5129 , 10.7730,<LOD,8.1699,929721.4375 , 540.9183,<LOD,6.9587,<LOD,11.8791,<LOD,147.2727,<LOD,55.4438,507.7372 , 12.3985,65001.0195 , 189.7481,<LOD,0.0000,<LOD,5.6069,134.6248 , 27.8709,<LOD,1.7689,5.1351 , 0.9568,<LOD,17.6194,1406.6405 , 10.4020,<LOD,9.9093,53.2847 , 1.7733,<LOD,0.0000,<LOD,21.2795,<LOD,2.1192,<LOD,13.8566,44.6469 , 0.8236,<LOD,0.0000,<LOD,5.2919,2186.2495 , 168.6845,<LOD,2.3092,<LOD,176.0419,<LOD,0.0000,17.3751 , 1.5815,575.2490 , 10.4221,170.0655 , 2.1581,,,,,
3953,Mining,19.19,19.31,,,,"Fri Mar 7, 2025 - 05:33:14",User,1.5,ppm,,,,,LA 24_1,Mining,18.8767 , 16.6012,80.3083 , 9.7582,<LOD,8.6330,945331.5000 , 541.7672,<LOD,4.2972,62.7784 , 25.1131,<LOD,112.7057,<LOD,93.7022,504.9949 , 13.9270,49644.3555 , 193.6048,<LOD,0.0000,<LOD,6.8285,148.9743 , 32.1363,<LOD,1.8586,2.9951 , 1.0012,24.5824 , 10.1899,962.0729 , 9.6421,<LOD,11.8057,57.6938 , 2.0289,<LOD,0.0000,157.6562 , 128.2546,<LOD,2.2159,193.2533 , 10.7140,42.8072 , 0.8935,<LOD,0.0000,<LOD,7.6456,2080.2559 , 198.1166,<LOD,2.5870,<LOD,166.3500,<LOD,0.0000,10.5905 , 1.5361,566.7313 , 11.5966,109.5885 , 1.9958,,,,,
3954,Mining,19.36,19.26,,,,"Fri Mar 7, 2025 - 05:36:00",User,1.5,ppm,,,,,LA 24_18,Mining,<LOD,11.0014,724.2627 , 15.7716,<LOD,10.8479,934737.8750 , 563.6503,236.6938 , 7.2508,<LOD,12.8664,<LOD,100.4261,<LOD,69.7368,40.4258 , 5.6466,58101.3594 , 191.1224,<LOD,0.0000,15.5363 , 3.5721,<LOD,54.8247,4.4197 , 1.2415,10.1212 , 1.0435,52.1816 , 9.1490,2273.1245 , 13.7119,<LOD,11.0964,34.4520 , 1.7311,<LOD,0.0000,605.8904 , 492.6001,6.6679 , 2.0664,223.2581 , 10.3488,18.3116 , 0.6525,<LOD,0.0000,<LOD,11.4379,2698.4448 , 195.6601,<LOD,2.6667,<LOD,172.1697,<LOD,10.5624,3.4649 , 1.8025,105.7873 , 5.1821,100.4540 , 1.9197,,,,,
3955,Mining,19.00,18.98,,,,"Fri Mar 7, 2025 - 05:36:27",User,1.5,ppm,,,,,LA 24_18,Mining,<LOD,10.2355,705.6884 , 20.4075,<LOD,13.4588,926827.5625 , 542.7034,234.8455 , 7.6044,<LOD,11.8021,<LOD,98.3795,<LOD,56.0282,55.4767 , 5.6342,61481.4727 , 186.0842,<LOD,0.0000,20.6594 , 3.9524,<LOD,55.1910,<LOD,1.9770,13.9346 , 1.0993,28.9475 , 8.6977,5300.8340 , 19.4700,<LOD,9.8420,55.5518 , 2.0154,<LOD,0.0000,263.4434 , 214.2955,9.9281 , 2.5377,<LOD,18.1640,34.9551 , 0.8171,<LOD,0.0000,<LOD,12.9006,4558.9404 , 210.3919,<LOD,3.2678,94.7716 , 77.4890,<LOD,10.6223,11.5638 , 2.4995,160.6172 , 5.8035,140.8373 , 2.1817,,,,,
3956,Mining,19.15,19.06,,,,"Fri Mar 7, 2025 - 05:36:52",User,1.5,ppm,,,,,LA 24_18,Mining,77.7147 , 68.3257,2321.2419 , 74.1482,<LOD,51.4288,908853.5000 , 790.4039,210.4573 , 19.8914,<LOD,19.9869,<LOD,106.8503,80.7893 , 54.7354,58.7906 , 8.3967,32905.7227 , 207.1283,<LOD,0.0000,114.1253 , 11.9940,49.9500 , 34.4837,<LOD,3.4099,88.8725 , 2.1492,35.0640 , 10.9541,49680.0195 , 76.0511,<LOD,16.5088,<LOD,9.2122,<LOD,0.0000,326.1010 , 265.2047,74.6525 , 9.1926,616.9741 , 17.3183,<LOD,4.4492,<LOD,0.0000,<LOD,38.6259,4076.2290 , 282.4068,<LOD,7.4715,289.1104 , 113.9081,<LOD,24.0247,<LOD,14.2770,94.5570 , 7.1687,46.0795 , 4.3770,,,,,
3957,Mining,20.39,19.67,,,,"Fri Mar 7, 2025 - 05:38:09",User,1.5,ppm,,,,,LA 24_6,Mining,116.1365 , 102.1437,1280.7701 , 43.8084,<LOD,28.9294,720330.0625 , 2254.8115,68.7813 , 11.5854,<LOD,19.9584,<LOD,218.2780,<LOD,81.2756,215.9984 , 13.2136,263391.1562 , 346.9081,<LOD,0.0000,<LOD,11.4662,<LOD,71.4972,3.4889 , 1.8711,16.5046 , 1.6857,119.0397 , 28.9581,12042.5908 , 43.0829,<LOD,17.3752,3.7299 , 2.1930,<LOD,0.0000,38.4746 , 31.3015,8.1849 , 5.0969,158.2374 , 16.1049,30.1748 , 1.3210,<LOD,0.0000,<LOD,21.0401,1883.8732 , 146.1171,<LOD,4.2844,<LOD,133.9704,<LOD,27.1005,<LOD,7.6287,207.2814 , 9.8382,85.5207 , 2.9454,,,,,
3958,Mining,32.30,19.17,10.95,,,"Fri Mar 7, 2025 - 05:38:59",User,1.5,ppm,,,,,LA 24_6,Mining,59.9405 , 53.8043,451.2314 , 28.9996,<LOD,19.4709,816692.4375 , 1200.4890,23.0775 , 7.7615,28.1074 , 11.3432,<LOD,207.3122,<LOD,24.1459,108.7968 , 10.9685,175479.9844 , 627.4661,<LOD,0.0000,22.3936 , 6.2864,<LOD,88.1140,<LOD,2.3379,3.1057 , 1.2705,46.7126 , 23.6226,4753.0415 , 28.8866,<LOD,14.5876,2.7287 , 1.6165,<LOD,0.0000,111.4605 , 93.3012,<LOD,8.6239,182.4629 , 13.4839,13.4239 , 0.9527,<LOD,0.0000,<LOD,13.9569,618.0135 , 57.6146,<LOD,3.5207,<LOD,29.0805,<LOD,32.5448,<LOD,5.0477,90.8513 , 7.3427,68.2171 , 2.4241,109.8968 , 62.8286,1134.1360 , 135.9751,
3959,Mining,19.75,0.00,,,,"Fri Mar 7, 2025 - 05:39:28",User,1.5,ppm,,,,,LA 24_6,Mining,<LOD,12.5499,822.5614 , 29.0435,<LOD,19.5444,862859.4375 , 936.1236,61.7481 , 7.7867,<LOD,14.4304,<LOD,135.5536,<LOD,59.2870,114.7129 , 7.7938,122155.0938 , 239.3581,<LOD,0.0000,6.2788 , 4.7081,<LOD,50.2620,3.0209 , 1.4909,21.7408 , 1.3405,102.8168 , 13.2467,9451.4258 , 28.5801,<LOD,12.5743,8.1749 , 1.7482,<LOD,0.0000,<LOD,25.6322,<LOD,5.0075,<LOD,16.8150,29.1039 , 0.9395,<LOD,0.0000,<LOD,14.3526,4040.0947 , 185.7394,9.1613 , 2.4506,<LOD,120.8838,<LOD,12.5619,<LOD,5.1399,152.1656 , 6.3758,162.4951 , 2.6064,,,,,
3960,Mining,19.66,19.23,,,,"Fri Mar 7, 2025 - 05:42:31",User,1.5,ppm,,,,,LA 24_12,Mining,<LOD,9.1168,131.2676 , 10.2215,<LOD,7.5827,980374.0000 , 281.0466,8.8120 , 2.9027,<LOD,10.7653,<LOD,47.2927,<LOD,51.2349,62.7282 , 4.9952,14523.9092 , 102.5125,<LOD,0.0000,<LOD,4.8689,<LOD,30.2670,<LOD,1.6144,5.9009 , 0.8276,10.9987 , 5.4379,1781.4293 , 10.0367,<LOD,12.6797,13.5722 , 1.0159,<LOD,0.0000,<LOD,19.0636,<LOD,1.9750,<LOD,12.3728,13.5791 , 0.4832,<LOD,0.0000,<LOD,5.3051,2784.5334 , 193.1493,<LOD,2.0606,<LOD,114.6038,<LOD,7.8597,12.3988 , 1.3788,41.5932 , 3.1213,235.2470 , 2.1096,,,,,
