Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
3171,Mining,19.76,19.11,,,,"Tue Mar 12, 2024 - 05:43:29",User,1.5,ppm,,,,,180-661,Mining,247.4316 , 217.5075,349.0885 , 8.1045,61.8256 , 10.4911,976659.6875 , 312.6313,<LOD,3.9398,480.3066 , 192.0498,<LOD,53.6693,430.9862 , 49.0569,11.0519 , 3.9140,16945.0469 , 111.2180,<LOD,0.0000,<LOD,3.4349,101.6704 , 26.5264,<LOD,1.7828,13.0969 , 0.9221,14.8420 , 6.2994,616.0975 , 6.8346,22.4428 , 6.6142,69.6066 , 1.7701,<LOD,0.0000,<LOD,19.7694,430.8934 , 5.4403,<LOD,12.9048,83.6074 , 0.9323,<LOD,0.0000,7.1232 , 2.6214,2917.6204 , 197.4762,<LOD,3.0299,159.5416 , 81.2024,<LOD,9.0363,21.9475 , 1.2322,40.1398 , 3.1986,315.9481 , 2.4816,
3172,Mining,19.84,19.97,,,,"Tue Mar 12, 2024 - 05:43:56",User,1.5,ppm,,,,,180-661,Mining,247.8642 , 217.8863,343.5724 , 8.1786,64.0262 , 10.7171,976348.8750 , 321.2659,<LOD,3.9230,487.8876 , 195.0798,<LOD,54.2193,434.7503 , 50.1216,15.7017 , 4.0858,16959.1504 , 112.5377,<LOD,0.0000,<LOD,3.4249,105.4863 , 26.9858,<LOD,1.8233,12.3924 , 0.9416,11.0746 , 6.2478,617.4175 , 6.9291,25.9528 , 6.7203,68.6392 , 1.7964,<LOD,0.0000,<LOD,20.0942,438.6086 , 5.5513,<LOD,13.1350,82.7696 , 0.9389,<LOD,0.0000,5.4290 , 2.5970,3069.1301 , 202.5336,3.4459 , 1.6079,272.2835 , 85.8322,<LOD,9.3319,22.0376 , 1.2468,44.4028 , 3.3359,319.1018 , 2.5202,
3173,Mining,20.32,19.85,,,,"Tue Mar 12, 2024 - 05:55:42",User,1.5,ppm,,,,,LMW1,Mining,132.1726 , 116.1740,1495.1873 , 60.2004,<LOD,40.2242,768400.4375 , 1841.4360,136.8482 , 15.8745,<LOD,20.2017,<LOD,200.2901,<LOD,82.1001,409.8647 , 16.0581,197526.1094 , 333.9327,<LOD,0.0000,50.9486 , 9.6548,107.6134 , 38.7215,8.8343 , 2.0131,21.6743 , 1.8831,162.8693 , 22.7585,27004.4941 , 59.9772,<LOD,17.3048,25.8631 , 3.4498,<LOD,0.0000,438.9855 , 356.9163,<LOD,16.0765,701.0573 , 17.4226,18.8334 , 1.5242,<LOD,0.0000,<LOD,30.3754,2819.5842 , 180.9620,<LOD,10.1203,<LOD,203.0671,<LOD,20.3764,<LOD,11.2350,451.0822 , 13.1504,87.5225 , 3.5852,
3174,Mining,20.07,20.00,,,,"Tue Mar 12, 2024 - 05:57:02",User,1.5,ppm,,,,,LMW1,Mining,143.8268 , 126.4006,1527.7476 , 62.3396,<LOD,41.6678,760497.5625 , 2015.3571,122.7331 , 16.3291,<LOD,21.4160,<LOD,211.9342,<LOD,115.6173,473.9888 , 17.7571,205939.8125 , 350.2554,<LOD,0.0000,66.5932 , 10.4586,88.3776 , 40.1878,9.2825 , 2.0847,22.3404 , 1.9498,126.9531 , 24.4508,26442.5273 , 62.1080,<LOD,22.3061,30.0498 , 3.5691,<LOD,0.0000,514.7115 , 418.4291,<LOD,17.1341,774.7073 , 18.5307,20.1000 , 1.5923,<LOD,0.0000,<LOD,31.4414,2635.5051 , 182.5713,<LOD,6.3208,<LOD,188.3085,<LOD,23.4360,<LOD,11.5583,482.4643 , 14.1879,80.7318 , 3.6855,
3175,Mining,19.93,19.45,,,,"Tue Mar 12, 2024 - 05:57:45",User,1.5,ppm,,,,,LMW1,Mining,142.4152 , 125.1685,1336.6821 , 58.7871,<LOD,39.0755,782559.0625 , 1829.0015,130.1345 , 15.5241,<LOD,20.6909,<LOD,199.7565,<LOD,82.3927,434.2711 , 16.5280,185176.8906 , 335.0653,<LOD,0.0000,48.5936 , 9.6442,144.2503 , 39.9252,11.1992 , 2.0901,21.2279 , 1.9198,108.0125 , 22.0656,25274.5723 , 58.5825,<LOD,27.8279,30.2566 , 3.4780,<LOD,0.0000,471.9125 , 383.6619,<LOD,12.1340,742.6051 , 17.7320,22.8136 , 1.5358,<LOD,0.0000,<LOD,29.9188,2779.1631 , 186.6218,6.6851 , 4.2128,<LOD,235.6404,<LOD,35.2287,<LOD,10.9535,465.9184 , 13.4713,93.3355 , 3.6237,
3176,Mining,19.22,19.17,,,,"Tue Mar 12, 2024 - 05:59:26",User,1.5,ppm,,,,,LMW2,Mining,188.3858 , 165.5233,2707.7854 , 66.1407,<LOD,43.5696,744597.6875 , 2268.7693,141.7490 , 17.4155,<LOD,21.7000,<LOD,224.8803,<LOD,86.4397,520.2777 , 19.0483,219922.1406 , 365.2056,<LOD,0.0000,58.9776 , 10.9439,83.2909 , 41.1512,9.1748 , 2.1242,13.0650 , 2.0416,<LOD,66.8857,26500.6445 , 64.3302,<LOD,21.1397,34.9591 , 3.8143,<LOD,0.0000,616.4429 , 501.0168,17.3973 , 7.6371,1044.6354 , 19.4935,30.4323 , 1.7419,<LOD,0.0000,<LOD,33.1700,2870.6277 , 188.1317,<LOD,7.0816,89.0538 , 77.9877,<LOD,24.0587,<LOD,12.3925,484.3713 , 14.7294,68.8959 , 3.7834,
3177,Mining,20.17,19.59,,,,"Tue Mar 12, 2024 - 06:00:00",User,1.5,ppm,,,,,LMW2,Mining,252.7367 , 222.2486,2948.3406 , 74.2385,<LOD,48.4599,705260.4375 , 2705.8896,161.9300 , 19.5052,<LOD,23.5772,<LOD,238.2951,<LOD,91.5364,626.2883 , 21.2496,251997.9688 , 383.9834,<LOD,0.0000,79.3514 , 12.3675,82.4684 , 42.6199,12.1945 , 2.3232,17.5106 , 2.2138,84.4882 , 29.7534,32309.4414 , 72.7809,51.6435 , 13.7017,44.2188 , 4.2692,<LOD,0.0000,813.9854 , 32.7892,17.2435 , 8.4952,1346.7886 , 21.6461,35.1740 , 1.9583,<LOD,0.0000,<LOD,37.3347,3168.2756 , 189.1624,<LOD,7.2250,<LOD,237.3844,<LOD,37.4588,<LOD,14.0170,599.6528 , 16.6843,89.8111 , 4.3166,
3178,Mining,20.35,19.73,,,,"Tue Mar 12, 2024 - 06:00:32",User,1.5,ppm,,,,,LMW2,Mining,254.0585 , 223.4105,2256.9368 , 66.7271,<LOD,44.0440,728468.3125 , 2462.1235,161.0009 , 17.6842,<LOD,26.9588,<LOD,223.1451,<LOD,86.9152,562.6443 , 19.3685,233096.9688 , 365.5134,<LOD,0.0000,62.5131 , 11.0127,<LOD,84.0968,10.6486 , 2.1812,15.3828 , 2.0838,67.4803 , 27.0134,28929.6816 , 65.7613,73.7577 , 13.0276,39.1600 , 3.9230,<LOD,0.0000,799.9890 , 30.8773,14.8667 , 7.7002,1332.7048 , 20.3881,32.9638 , 1.7806,<LOD,0.0000,<LOD,33.7473,3158.5879 , 186.3480,<LOD,8.2404,<LOD,257.0591,<LOD,29.5465,<LOD,12.7548,561.9480 , 15.4266,100.3803 , 4.0238,
3179,Mining,20.10,19.72,,,,"Tue Mar 12, 2024 - 06:02:35",User,1.5,ppm,,,,,LMW3,Mining,46.5756 , 40.9660,926.9951 , 36.8048,<LOD,23.9258,862402.8750 , 956.6642,67.6106 , 9.6096,<LOD,15.6270,<LOD,140.7673,<LOD,64.9412,290.4874 , 11.1288,117370.2656 , 247.3980,<LOD,0.0000,25.7282 , 6.0290,<LOD,68.8489,<LOD,2.2188,15.7457 , 1.3778,64.8626 , 13.7098,14859.7061 , 36.5544,<LOD,13.4075,91.7758 , 3.0366,<LOD,0.0000,79.8597 , 64.9743,<LOD,6.1976,245.8821 , 12.6745,61.3797 , 1.3044,<LOD,0.0000,<LOD,18.2541,3066.9104 , 179.2801,<LOD,6.1129,97.6921 , 71.7643,<LOD,14.1003,<LOD,6.8370,178.7301 , 7.1826,106.8857 , 2.6109,
3180,Mining,20.01,19.30,,,,"Tue Mar 12, 2024 - 06:03:18",User,1.5,ppm,,,,,LMW3,Mining,24.9488 , 21.9456,780.4238 , 36.0050,<LOD,23.2193,868443.2500 , 932.3015,61.1397 , 9.3811,<LOD,15.4669,<LOD,139.8701,<LOD,76.7143,257.9590 , 10.6948,112578.1719 , 247.6580,<LOD,0.0000,18.2574 , 5.8086,40.8954 , 29.5538,<LOD,3.2757,14.0842 , 1.3839,56.3986 , 13.3559,14097.6943 , 35.8925,<LOD,13.1444,93.7620 , 3.0538,<LOD,0.0000,54.8521 , 44.6312,<LOD,6.0680,211.5212 , 12.5135,65.7527 , 1.3267,<LOD,0.0000,<LOD,17.8574,2952.1245 , 180.8192,3.9929 , 2.8093,<LOD,195.2518,<LOD,14.9854,<LOD,6.7111,142.4406 , 6.6238,102.3329 , 2.5730,
3181,Mining,19.51,19.47,,,,"Tue Mar 12, 2024 - 06:04:08",User,1.5,ppm,,,,,LMW3,Mining,22.2647 , 19.5855,914.6597 , 37.0354,<LOD,23.9622,863306.4375 , 956.3087,55.9778 , 9.5644,<LOD,15.5176,<LOD,142.6233,<LOD,65.5178,282.6916 , 11.1415,116905.1016 , 251.0953,<LOD,0.0000,17.7670 , 5.9508,<LOD,74.9812,<LOD,3.0817,16.5553 , 1.4171,56.8866 , 13.8677,14653.2441 , 36.8047,<LOD,13.1204,83.2945 , 2.9893,<LOD,0.0000,26.0918 , 21.2310,<LOD,6.2530,207.4678 , 12.5937,57.4102 , 1.2907,<LOD,0.0000,<LOD,18.2231,3113.4929 , 182.5272,5.4973 , 2.8723,<LOD,207.1219,<LOD,17.5403,<LOD,6.8225,170.8739 , 7.1442,104.3428 , 2.6116,
3182,Mining,21.28,,,,,"Tue Mar 12, 2024 - 06:05:35",User,1.5,ppm,,,,,LMW4,Mining,178.1362 , 156.6665,7581.4312 , 66.6146,<LOD,47.4764,918117.8750 , 801.5696,275.6724 , 18.3730,<LOD,19.9645,69.2148 , 51.9280,91.5677 , 53.9764,175.8124 , 10.1388,21066.6230 , 164.0508,<LOD,0.0000,125.8391 , 11.4583,59.2293 , 32.6466,5.6046 , 2.1322,53.5796 , 2.1698,<LOD,15.8355,39614.6758 , 64.5820,<LOD,25.5121,48.2979 , 4.1623,<LOD,0.0000,774.5447 , 27.9917,340.0322 , 9.8874,1604.0355 , 19.0049,102.6907 , 2.1780,<LOD,0.0000,<LOD,34.8507,8764.2998 , 359.3033,<LOD,9.0708,370.7356 , 129.1152,<LOD,22.9438,<LOD,12.6861,377.8309 , 10.6957,202.2716 , 4.8256,
3183,Mining,19.01,18.88,,,,"Tue Mar 12, 2024 - 06:06:08",User,1.5,ppm,,,,,LMW4,Mining,187.7233 , 165.0955,11474.8457 , 73.4448,<LOD,48.2047,910520.6250 , 946.2510,302.6620 , 20.2745,<LOD,32.6159,<LOD,103.3808,100.5267 , 58.3264,249.3017 , 12.3155,27055.7832 , 194.8251,<LOD,0.0000,159.4549 , 13.1742,88.7396 , 36.4158,7.8417 , 2.3835,45.0308 , 2.3310,<LOD,18.1444,37048.0000 , 68.1374,41.2000 , 12.6738,97.5054 , 4.9658,<LOD,0.0000,845.6088 , 30.8337,90.2471 , 8.6809,1646.6240 , 20.7944,129.8023 , 2.4809,<LOD,0.0000,<LOD,37.5760,8756.3232 , 380.4271,<LOD,8.1319,511.2475 , 140.9151,<LOD,27.8766,<LOD,13.3937,398.1971 , 11.8610,242.7495 , 5.4070,
3184,Mining,20.39,19.88,,,,"Tue Mar 12, 2024 - 06:06:50",User,1.5,ppm,,,,,LMW4,Mining,253.7622 , 223.1367,15558.6230 , 84.6352,147.3208 , 37.8241,889363.8125 , 1165.5514,390.8498 , 23.5652,80.1344 , 32.0508,<LOD,131.9759,152.4568 , 60.1800,264.8301 , 12.9200,31271.7012 , 209.2208,<LOD,0.0000,124.4841 , 14.4632,98.7729 , 37.9937,10.9934 , 2.5661,48.0703 , 2.6090,<LOD,22.4160,47701.3828 , 80.2568,56.2980 , 13.6153,38.9251 , 5.0584,<LOD,0.0000,1131.8307 , 34.1886,75.5639 , 10.1534,2266.5793 , 23.6736,112.3027 , 2.6490,<LOD,0.0000,<LOD,44.3606,9995.9355 , 398.8595,<LOD,9.0300,278.5963 , 137.5934,<LOD,34.7857,<LOD,15.9346,378.4629 , 11.9920,198.3537 , 5.9453,
3185,Mining,20.14,19.94,,,,"Tue Mar 12, 2024 - 06:07:58",User,1.5,ppm,,,,,LMW5,Mining,<LOD,10.3846,106.3612 , 15.5845,<LOD,10.7524,933460.7500 , 511.4066,8.8292 , 4.0943,<LOD,12.0798,119.6567 , 62.0371,<LOD,53.1055,512.4918 , 11.6488,58619.6406 , 174.2733,<LOD,0.0000,<LOD,4.4205,255.0129 , 29.2846,1.8941 , 1.1322,8.6183 , 1.0009,<LOD,12.6701,3864.2708 , 15.8717,<LOD,10.6031,79.7393 , 2.0578,<LOD,0.0000,<LOD,21.5371,<LOD,2.8335,<LOD,14.1027,39.0084 , 0.7752,<LOD,0.0000,<LOD,7.8863,2308.0710 , 164.4180,3.5534 , 1.7262,<LOD,133.3385,<LOD,14.2688,19.8838 , 2.1308,503.2956 , 9.2145,88.8909 , 1.6625,
3186,Mining,19.93,19.36,,,,"Tue Mar 12, 2024 - 06:08:31",User,1.5,ppm,,,,,LMW5,Mining,<LOD,11.3367,235.6631 , 18.5842,<LOD,12.8623,913506.0000 , 632.5245,14.5200 , 4.8690,<LOD,12.8503,165.7701 , 72.3000,<LOD,54.8852,561.4404 , 12.8311,77417.3984 , 197.3497,<LOD,0.0000,<LOD,6.5228,236.3314 , 30.1847,<LOD,2.0408,8.2388 , 1.0774,<LOD,22.6632,4794.9712 , 18.7048,<LOD,11.1682,77.0305 , 2.1998,<LOD,0.0000,<LOD,23.0408,<LOD,3.4068,<LOD,15.0863,41.0262 , 0.8548,<LOD,0.0000,<LOD,9.3457,2310.2695 , 163.1443,4.7820 , 1.9317,<LOD,173.3051,<LOD,12.7396,18.0847 , 2.4536,521.0513 , 9.9121,87.3726 , 1.8005,
3187,Mining,20.20,19.40,,,,"Tue Mar 12, 2024 - 06:09:17",User,1.5,ppm,,,,,LMW5,Mining,<LOD,17.4936,151.5130 , 16.0174,<LOD,11.3160,927935.6250 , 550.5380,8.7591 , 4.2006,<LOD,12.3803,166.9268 , 65.3440,<LOD,73.5861,525.5496 , 11.9948,64082.6758 , 181.5019,<LOD,0.0000,4.4171 , 3.1326,247.6798 , 29.6990,<LOD,2.5001,6.6604 , 1.0068,<LOD,16.5851,3878.8296 , 16.2146,<LOD,10.8379,78.7217 , 2.0954,<LOD,0.0000,<LOD,22.0918,<LOD,3.0070,<LOD,14.4427,38.1048 , 0.7853,<LOD,0.0000,<LOD,8.0470,2257.8088 , 163.4253,3.9403 , 1.8030,<LOD,158.2403,<LOD,12.0806,21.2351 , 2.1810,500.9368 , 9.3654,90.5981 , 1.7049,
3188,Mining,19.42,19.52,,,,"Tue Mar 12, 2024 - 06:11:32",User,1.5,ppm,,,,,LMW6,Mining,195.6418 , 172.0014,2860.0007 , 85.7466,<LOD,58.3295,761424.1250 , 2032.2288,78.8405 , 21.6748,<LOD,28.6165,<LOD,252.9853,<LOD,95.0347,2062.6233 , 35.7689,145876.9219 , 356.1227,<LOD,0.0000,223.7381 , 19.2380,840.5358 , 58.6086,7.6517 , 2.1473,34.6088 , 2.2754,106.4937 , 23.3458,41927.9258 , 85.2366,<LOD,17.9975,<LOD,10.8896,<LOD,0.0000,214.2549 , 174.2408,<LOD,16.0055,1628.2764 , 21.7012,<LOD,2.7579,<LOD,0.0000,<LOD,42.6327,<LOD,355.2623,<LOD,9.2998,112.2653 , 77.3849,<LOD,111.3180,<LOD,16.0513,42406.1484 , 119.4530,<LOD,5.9389,
3189,Mining,20.31,19.71,,,,"Tue Mar 12, 2024 - 06:12:08",User,1.5,ppm,,,,,LMW6,Mining,197.5328 , 173.6813,3242.8379 , 103.6755,<LOD,71.4917,792180.5625 , 1846.5699,169.6616 , 26.9913,<LOD,22.4605,<LOD,202.4505,<LOD,94.3106,1481.7623 , 30.3929,111137.5703 , 342.8947,<LOD,0.0000,241.0358 , 17.7146,658.2259 , 57.0637,12.9350 , 2.3705,89.6386 , 2.7503,78.6224 , 20.3450,68696.4766 , 105.4376,<LOD,18.4599,<LOD,8.1687,<LOD,0.0000,145.8589 , 118.6303,47.0377 , 12.3962,2190.3547 , 24.0446,<LOD,3.4092,<LOD,0.0000,<LOD,53.8144,378.4524 , 161.8560,<LOD,10.6421,119.0873 , 86.6491,<LOD,0.0000,<LOD,20.6444,18932.3594 , 81.7332,<LOD,7.7282,
