Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
3095,Mining,19.85,19.91,,,,"Fri Mar 1, 2024 - 05:38:20",User,1.5,ppm,,,,,sdar_m2,Mining,<LOD,9.1297,57.0365 , 7.5333,<LOD,6.2028,976913.5000 , 284.1781,4.4839 , 2.3237,<LOD,10.7224,<LOD,51.7880,78.6493 , 37.0424,266.2043 , 8.2033,17031.5078 , 108.5238,<LOD,0.0000,<LOD,3.3952,1018.7847 , 43.8939,10.2172 , 1.2069,26.4512 , 1.0465,52.7732 , 6.9507,986.1532 , 7.5346,<LOD,9.4120,161.8834 , 2.4846,<LOD,0.0000,<LOD,18.9042,<LOD,1.7370,<LOD,12.2064,149.1457 , 1.1864,<LOD,0.0000,7.4514 , 2.9587,1780.7764 , 169.7645,7.3824 , 1.7831,187.1395 , 75.3355,<LOD,15.8169,35.9405 , 1.5024,959.3911 , 11.4918,265.0992 , 2.2927,
3096,Mining,19.80,19.90,,,,"Fri Mar 1, 2024 - 05:39:06",User,1.5,ppm,,,,,sdar_m2,Mining,<LOD,9.2795,53.9759 , 7.6952,<LOD,6.5435,976636.8750 , 290.7731,<LOD,4.9805,<LOD,10.8705,<LOD,53.0684,<LOD,83.3873,267.9751 , 8.3059,17434.5000 , 110.5270,<LOD,0.0000,<LOD,4.6403,1001.6893 , 43.9033,12.9890 , 1.2287,26.0631 , 1.0477,46.0669 , 6.9210,1015.0298 , 7.7212,<LOD,13.6742,168.0662 , 2.5416,<LOD,0.0000,<LOD,19.2231,<LOD,1.8183,<LOD,12.3817,151.5220 , 1.2080,<LOD,0.0000,9.1469 , 2.8530,1707.9214 , 169.8417,4.5761 , 1.7514,209.7078 , 76.4534,<LOD,12.9428,32.7276 , 1.5136,962.0056 , 11.6240,259.1346 , 2.2957,
3097,Mining,20.07,19.58,,,,"Fri Mar 1, 2024 - 05:39:50",User,1.5,ppm,,,,,sdar_m2,Mining,<LOD,8.9892,59.0213 , 7.5552,<LOD,6.3909,976323.6250 , 283.2097,<LOD,3.2985,<LOD,10.5632,<LOD,51.7943,<LOD,55.9602,270.2393 , 8.1716,17692.9199 , 109.1204,<LOD,0.0000,5.5138 , 2.3623,989.0346 , 42.7266,11.7889 , 1.1823,26.0671 , 1.0112,58.8637 , 6.9570,1011.4960 , 7.5586,<LOD,9.2706,167.5104 , 2.4792,<LOD,0.0000,<LOD,18.6255,<LOD,1.7747,<LOD,12.0365,153.6016 , 1.1921,<LOD,0.0000,9.6737 , 2.7563,1792.0963 , 167.6067,<LOD,4.0946,194.4619 , 74.5602,<LOD,12.4745,31.7823 , 1.4767,945.7833 , 11.3034,256.5248 , 2.2424,
3098,Mining,19.81,19.94,,,,"Fri Mar 1, 2024 - 05:41:37",User,1.5,ppm,,,,,lmw9yellow,Mining,44.2817 , 38.9533,1427.2010 , 18.1929,<LOD,11.8389,798535.8125 , 1394.3749,<LOD,9.4984,22.4947 , 11.2458,<LOD,166.9998,<LOD,61.5629,2013.0325 , 27.7991,193236.0469 , 274.0917,<LOD,0.0000,<LOD,6.3984,442.5158 , 38.5781,<LOD,2.7300,1.7865 , 1.1042,89.3155 , 19.8742,1306.0841 , 12.1192,24.6381 , 9.7906,<LOD,1.3404,<LOD,0.0000,<LOD,29.7482,<LOD,4.8635,<LOD,22.4963,<LOD,0.9912,<LOD,0.0000,<LOD,5.7608,<LOD,185.5488,<LOD,2.3557,<LOD,95.9096,<LOD,29.3042,<LOD,2.2217,2853.6814 , 26.7228,3.0974 , 1.0008,
3099,Mining,19.25,19.23,,,,"Fri Mar 1, 2024 - 05:42:25",User,1.5,ppm,,,,,lmw9yellow,Mining,41.8096 , 36.7787,1491.7769 , 18.1191,<LOD,11.6017,805393.0625 , 1366.7345,14.4545 , 4.8645,<LOD,20.4537,<LOD,167.2327,<LOD,62.9534,1921.3407 , 27.4507,186584.9375 , 275.6226,<LOD,0.0000,<LOD,6.8015,399.5394 , 38.3171,<LOD,2.0327,<LOD,2.2153,88.9514 , 19.6453,1116.6218 , 11.3219,14.5087 , 9.7396,<LOD,1.1258,<LOD,0.0000,<LOD,29.9958,<LOD,3.1817,<LOD,19.3598,<LOD,1.0925,<LOD,0.0000,<LOD,6.2953,<LOD,181.2655,<LOD,2.2396,<LOD,97.7168,<LOD,25.8877,<LOD,2.1452,2928.3906 , 27.2944,4.6583 , 1.0245,
3100,Mining,19.83,19.64,,,,"Fri Mar 1, 2024 - 05:43:10",User,1.5,ppm,,,,,lmw9yellow,Mining,68.6969 , 60.4228,1599.3137 , 22.1477,<LOD,13.8370,783525.4375 , 1616.5490,9.7098 , 5.7031,39.9497 , 15.9828,<LOD,183.6964,<LOD,68.4445,2115.8906 , 30.6918,206797.2812 , 297.7671,<LOD,0.0000,<LOD,7.2643,456.5844 , 41.7498,<LOD,3.6166,2.0955 , 1.2093,68.2117 , 22.4765,2002.6708 , 16.1367,55.5339 , 10.8805,<LOD,1.6188,<LOD,0.0000,38.7044 , 31.4900,<LOD,5.5551,59.2299 , 14.3482,1.4260 , 0.5509,<LOD,0.0000,<LOD,8.2564,<LOD,193.3503,<LOD,2.6534,<LOD,101.2958,<LOD,29.1113,<LOD,2.8584,3155.1770 , 30.2420,4.0748 , 1.1782,
3101,Mining,20.27,19.76,,,,"Fri Mar 1, 2024 - 05:44:32",User,1.5,ppm,,,,,lmw9brown,Mining,156.0691 , 137.2155,1570.3888 , 63.4428,<LOD,40.6825,617900.2500 , 3543.0723,42.9023 , 15.9464,<LOD,23.2553,<LOD,267.9289,<LOD,93.8227,1082.3536 , 29.5005,356556.7812 , 413.8565,<LOD,0.0000,<LOD,14.7793,162.0717 , 46.8449,3.6381 , 2.1152,12.2332 , 1.9106,160.2026 , 41.4200,19662.9707 , 63.2778,<LOD,19.7838,<LOD,4.1865,<LOD,0.0000,232.8448 , 189.3657,<LOD,15.3813,508.1393 , 19.7338,4.2448 , 1.4326,<LOD,0.0000,<LOD,29.6120,544.9142 , 117.7894,<LOD,5.1334,<LOD,150.0557,<LOD,33.5585,<LOD,11.1837,1376.4203 , 26.4353,23.5401 , 3.0396,
3102,Mining,20.09,19.47,,,,"Fri Mar 1, 2024 - 05:45:03",User,1.5,ppm,,,,,lmw9brown,Mining,224.2456 , 197.1135,2138.0833 , 75.0889,<LOD,48.9431,577394.7500 , 4338.2646,73.1231 , 19.1191,<LOD,28.5552,<LOD,296.6616,<LOD,102.2666,1267.9376 , 34.4214,391907.9062 , 446.6049,<LOD,0.0000,<LOD,17.1391,208.7031 , 51.6378,5.1342 , 2.4081,22.8115 , 2.2558,164.3575 , 48.2785,23125.4277 , 74.2637,<LOD,26.3156,<LOD,4.7288,<LOD,0.0000,301.5276 , 245.1704,<LOD,19.0227,678.8270 , 22.7267,8.8842 , 1.7201,<LOD,0.0000,<LOD,34.5998,825.7994 , 129.4378,<LOD,5.7133,<LOD,154.9506,<LOD,37.4759,<LOD,13.0998,1611.2755 , 30.9437,41.1793 , 3.6308,
3103,Mining,19.88,19.19,,,,"Fri Mar 1, 2024 - 05:45:32",User,1.5,ppm,,,,,lmw9brown,Mining,208.6400 , 183.4037,2150.2795 , 73.3187,<LOD,48.0439,584300.5625 , 4208.1792,89.8448 , 18.8941,<LOD,25.9416,<LOD,291.6695,<LOD,103.3378,1243.4014 , 33.6660,385828.1250 , 441.3428,<LOD,0.0000,<LOD,16.7697,185.8430 , 50.6852,6.3769 , 2.3729,21.0512 , 2.2005,172.6930 , 47.0529,22553.7969 , 72.4155,<LOD,22.4879,<LOD,4.7979,<LOD,0.0000,290.8958 , 236.5356,<LOD,20.2936,664.7410 , 22.2693,8.5568 , 1.6765,<LOD,0.0000,<LOD,34.1737,694.0609 , 125.5401,<LOD,5.6115,<LOD,154.2306,<LOD,37.9253,<LOD,12.7824,1548.5367 , 29.9731,32.5983 , 3.4921,
3104,Mining,20.17,19.36,,,,"Fri Mar 1, 2024 - 05:46:46",User,1.5,ppm,,,,,lmw9wite,Mining,<LOD,12.4358,1159.0779 , 12.6753,<LOD,8.3173,823329.3125 , 1098.5884,<LOD,6.1627,<LOD,14.5915,<LOD,150.1555,<LOD,57.1218,1958.2920 , 25.5264,168831.4219 , 250.5605,<LOD,0.0000,<LOD,5.7051,625.7872 , 39.2226,<LOD,1.8081,<LOD,1.4260,88.2669 , 17.0348,175.1970 , 4.3458,<LOD,12.2783,<LOD,0.9920,<LOD,0.0000,<LOD,25.8823,<LOD,2.4574,<LOD,16.8485,<LOD,0.5266,<LOD,0.0000,<LOD,2.9109,<LOD,158.0693,<LOD,2.0578,<LOD,89.3310,<LOD,26.9701,<LOD,1.1821,3832.6289 , 28.6021,<LOD,1.1894,
3105,Mining,20.25,19.64,,,,"Fri Mar 1, 2024 - 05:47:25",User,1.5,ppm,,,,,lmw9wite,Mining,<LOD,12.7760,1515.1221 , 15.6089,<LOD,9.9366,808287.0000 , 1167.7759,<LOD,8.9678,<LOD,14.9418,<LOD,158.6330,<LOD,59.3997,2105.3064 , 27.3997,184018.6562 , 262.5526,<LOD,0.0000,<LOD,5.8430,462.3611 , 37.6583,<LOD,1.9077,<LOD,1.5367,113.7497 , 18.4952,443.0588 , 6.9230,<LOD,12.4575,<LOD,0.9966,<LOD,0.0000,<LOD,26.4763,<LOD,2.7859,<LOD,17.1509,<LOD,0.6275,<LOD,0.0000,<LOD,4.0574,<LOD,164.6516,<LOD,1.8323,<LOD,90.9667,<LOD,25.5289,<LOD,1.5125,3054.7830 , 26.6475,<LOD,1.7666,
3106,Mining,19.78,19.81,,,,"Fri Mar 1, 2024 - 05:47:59",User,1.5,ppm,,,,,lmw9wite,Mining,<LOD,13.5429,1680.7284 , 16.3380,9.3468 , 7.3128,800257.0625 , 1264.7799,6.4248 , 4.2571,<LOD,15.8673,<LOD,163.8730,<LOD,60.9417,2284.3638 , 29.0452,191553.0781 , 268.9855,<LOD,0.0000,<LOD,5.8768,478.9567 , 38.5863,<LOD,1.9967,<LOD,1.6027,80.1310 , 19.2621,337.1653 , 6.2189,<LOD,13.4193,<LOD,1.1919,<LOD,0.0000,<LOD,28.0320,<LOD,3.0314,<LOD,18.2310,<LOD,0.6679,<LOD,0.0000,<LOD,4.4785,<LOD,174.5495,<LOD,2.2000,<LOD,93.2598,<LOD,26.8089,<LOD,1.4987,3312.7844 , 28.2747,<LOD,1.9585,
3107,Mining,18.80,18.94,,,,"Fri Mar 1, 2024 - 05:49:46",User,1.5,ppm,,,,,mm12,Mining,13.0245 , 11.4553,3591.4797 , 27.0927,<LOD,15.8347,899566.6250 , 771.3957,71.7387 , 7.3165,<LOD,14.7801,<LOD,122.9640,<LOD,57.9304,371.2822 , 11.6709,88998.0000 , 221.9025,<LOD,0.0000,29.6618 , 5.2695,63.3926 , 27.9115,2.8505 , 1.3725,8.0671 , 1.1641,50.5515 , 11.5830,4351.5659 , 19.6451,13.6615 , 8.6409,21.3995 , 1.6697,<LOD,0.0000,146.7402 , 119.3831,6.2850 , 2.8204,137.9642 , 11.6086,14.6845 , 0.7054,<LOD,0.0000,<LOD,11.5441,1560.2151 , 156.4571,<LOD,4.8106,<LOD,175.7009,<LOD,15.7452,15.7825 , 2.5028,858.4966 , 13.5071,106.5134 , 2.1072,
3108,Mining,20.18,19.86,,,,"Fri Mar 1, 2024 - 05:50:23",User,1.5,ppm,,,,,mm12,Mining,<LOD,11.1373,3094.5786 , 23.4094,<LOD,13.9708,910318.5000 , 636.3093,67.5989 , 6.3700,<LOD,13.0480,<LOD,106.6179,<LOD,53.4387,379.6052 , 10.7266,79137.9766 , 196.7361,<LOD,0.0000,25.1968 , 4.6257,36.4096 , 24.5828,2.1543 , 1.2174,6.2220 , 1.0237,62.5960 , 9.8506,4080.8567 , 17.3017,<LOD,11.3716,23.6246 , 1.5276,<LOD,0.0000,60.2464 , 49.0220,5.5456 , 2.4967,30.9131 , 10.2452,14.7554 , 0.6330,<LOD,0.0000,<LOD,10.1771,1563.8978 , 146.2211,<LOD,4.1042,<LOD,126.2759,<LOD,15.3683,12.1811 , 2.1973,982.6066 , 13.1118,94.5351 , 1.8288,
3109,Mining,19.49,19.50,,,,"Fri Mar 1, 2024 - 05:51:02",User,1.5,ppm,,,,,mm12,Mining,<LOD,12.2559,2906.7715 , 24.9400,<LOD,15.1373,887469.5000 , 783.0433,59.7992 , 6.7045,<LOD,14.3528,<LOD,124.5132,<LOD,58.0155,405.5959 , 11.7250,102122.8203 , 222.5327,<LOD,0.0000,28.3920 , 4.8951,56.5790 , 27.2649,4.5857 , 1.3944,9.8511 , 1.1635,43.8332 , 11.8330,4320.9604 , 19.0130,<LOD,12.3887,16.2038 , 1.5355,<LOD,0.0000,45.8159 , 37.2808,5.3413 , 2.6711,<LOD,20.1186,8.2194 , 0.6155,<LOD,0.0000,<LOD,10.7546,1770.9569 , 150.8209,3.2882 , 2.0430,<LOD,104.2805,<LOD,13.9239,4.8893 , 2.3582,596.5600 , 11.0746,120.0361 , 2.1096,
3110,Mining,19.76,19.16,,,,"Fri Mar 1, 2024 - 05:52:28",User,1.5,ppm,,,,,mm13,Mining,83.4851 , 73.4029,4218.3345 , 59.8911,<LOD,38.3014,832222.0625 , 1312.5991,108.6843 , 15.4446,<LOD,18.8917,<LOD,171.1850,<LOD,131.8993,303.3340 , 13.1662,128640.0000 , 295.0780,<LOD,0.0000,45.5253 , 9.5521,66.9608 , 35.1728,4.8416 , 1.9004,34.1600 , 1.8696,36.1246 , 16.6110,27836.0781 , 56.9610,<LOD,16.1459,21.7353 , 3.2279,<LOD,0.0000,284.0479 , 231.0172,<LOD,9.8674,578.7120 , 16.1193,21.1894 , 1.4758,<LOD,0.0000,<LOD,29.2623,4803.9395 , 231.6952,<LOD,8.7817,<LOD,216.4842,<LOD,25.2737,<LOD,10.5682,582.3470 , 13.6561,108.4375 , 3.6315,
3111,Mining,19.75,19.22,,,,"Fri Mar 1, 2024 - 05:53:03",User,1.5,ppm,,,,,mm13,Mining,103.0759 , 90.6169,4286.6914 , 60.4040,<LOD,38.8237,829743.3750 , 1350.4224,120.1183 , 15.6543,<LOD,19.1312,<LOD,171.8681,<LOD,110.2693,287.4968 , 12.8832,129879.7500 , 294.1563,<LOD,0.0000,43.0769 , 9.6128,<LOD,88.4530,8.3503 , 1.9581,27.6741 , 1.8398,27.3404 , 16.8451,28629.5059 , 57.4114,<LOD,16.4778,21.3746 , 3.2393,<LOD,0.0000,342.0622 , 278.1671,<LOD,9.9386,711.3348 , 16.4605,19.0248 , 1.4718,<LOD,0.0000,<LOD,29.6765,4939.5469 , 232.5009,<LOD,7.3916,127.7362 , 87.1266,<LOD,34.4735,<LOD,10.8389,551.8112 , 13.3010,130.6678 , 3.7923,
3112,Mining,19.35,19.35,,,,"Fri Mar 1, 2024 - 05:53:36",User,1.5,ppm,,,,,mm13,Mining,126.5446 , 111.2315,5328.1035 , 63.3611,<LOD,40.9779,816107.3125 , 1501.6177,152.9238 , 16.6215,<LOD,19.7904,<LOD,180.7710,<LOD,79.3985,325.0042 , 13.8356,142173.6719 , 307.0377,<LOD,0.0000,55.9875 , 10.3123,48.8146 , 35.2416,5.6745 , 1.9559,28.0856 , 1.8929,<LOD,46.2997,29098.1816 , 59.4522,<LOD,17.1385,29.0139 , 3.4619,<LOD,0.0000,419.3372 , 340.9544,<LOD,12.0343,776.0286 , 17.1355,24.0785 , 1.5585,<LOD,0.0000,<LOD,30.9686,4609.3809 , 226.3116,<LOD,6.3552,<LOD,258.5943,<LOD,32.0615,<LOD,11.1990,583.1627 , 13.9881,108.6824 , 3.7731,
3113,Mining,20.41,19.83,,,,"Fri Mar 1, 2024 - 05:54:56",User,1.5,ppm,,,,,mm14,Mining,103.5791 , 91.0744,2307.9722 , 64.9561,<LOD,41.9934,754292.4375 , 1931.1106,105.1913 , 16.6951,<LOD,20.9623,<LOD,208.7373,<LOD,81.4027,392.2184 , 16.0241,208976.1719 , 340.7463,<LOD,0.0000,<LOD,14.1769,57.3540 , 38.1068,5.2012 , 1.9997,44.9357 , 1.9038,84.1658 , 23.8165,29705.7793 , 64.0849,<LOD,17.9130,17.0618 , 3.3221,<LOD,0.0000,231.3573 , 188.1726,<LOD,10.7906,461.4850 , 17.4326,10.4752 , 1.5181,<LOD,0.0000,<LOD,31.7912,2605.4395 , 175.4766,<LOD,5.6356,<LOD,157.9623,<LOD,22.4220,<LOD,11.1275,524.8319 , 14.2639,74.3207 , 3.6126,
3114,Mining,19.56,19.03,,,,"Fri Mar 1, 2024 - 05:55:43",User,1.5,ppm,,,,,mm14,Mining,24.3589 , 21.4284,1632.5394 , 46.8532,<LOD,30.0563,794707.2500 , 1397.8804,59.9610 , 11.9397,<LOD,17.6601,<LOD,177.0369,<LOD,73.3283,344.3233 , 13.5294,181745.8750 , 296.3872,<LOD,0.0000,12.8671 , 7.1634,<LOD,87.8580,<LOD,3.9110,27.5848 , 1.5624,141.2788 , 19.5182,18635.5684 , 46.2103,<LOD,14.9310,26.9974 , 2.6279,<LOD,0.0000,<LOD,36.1257,<LOD,7.8135,36.8652 , 14.0585,17.5326 , 1.1935,<LOD,0.0000,<LOD,22.6800,2075.8655 , 154.7810,<LOD,4.3176,<LOD,123.5589,<LOD,17.8717,<LOD,7.9594,454.1174 , 11.9057,57.0115 , 2.6794,
