Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
3017,Mining,20.04,19.66,,,,"Thu Feb 29, 2024 - 09:36:10",User,1.5,ppm,,,,,180-649,Mining,<LOD,8.5969,5.5720 , 3.0302,<LOD,4.3702,,,979866.6875 , 284.2853,<LOD,1.9510,,,<LOD,10.2747,<LOD,49.5085,<LOD,50.7267,39.1550 , 4.2969,16436.6035 , 104.6034,<LOD,0.0000,<LOD,2.2811,,,444.9738 , 31.8925,<LOD,2.4933,40.1676 , 1.0818,17.7249 , 5.7430,158.8593 , 3.1068,<LOD,10.4211,82.0439 , 1.7495,<LOD,0.0000,<LOD,17.7953,<LOD,1.2252,<LOD,11.4977,95.5147 , 0.9289,<LOD,0.0000,13.1733 , 1.7028,2196.4719 , 174.0005,2.1282 , 1.4174,<LOD,168.5733,<LOD,0.0000,35.6361 , 1.1381,180.2141 , 5.1262,385.0627 , 2.5537,
3018,Mining,20.10,19.93,,,,"Thu Feb 29, 2024 - 09:38:23",User,1.5,ppm,,,,,LMW12,Mining,<LOD,9.4063,771.1786 , 13.0916,<LOD,8.8013,,,964270.6875 , 361.0768,24.8683 , 3.7245,,,<LOD,11.1166,<LOD,68.0016,<LOD,52.2985,86.5089 , 5.6950,30253.0664 , 139.4582,<LOD,0.0000,5.8288 , 2.7818,,,<LOD,47.1285,<LOD,1.5397,5.4240 , 0.8694,19.8525 , 6.4612,1921.7056 , 10.9205,<LOD,9.5655,87.6262 , 1.9937,<LOD,0.0000,48.6404 , 39.5790,<LOD,2.6181,<LOD,12.8637,65.3723 , 0.8749,<LOD,0.0000,<LOD,6.2850,2225.9868 , 177.4717,<LOD,2.4694,<LOD,159.1611,<LOD,9.1843,9.2161 , 1.5544,111.7190 , 4.5878,92.2969 , 1.5834,
3019,Mining,19.69,19.62,,,,"Thu Feb 29, 2024 - 09:38:52",User,1.5,ppm,,,,,LMW12,Mining,<LOD,8.6642,668.5620 , 11.8337,<LOD,8.0230,,,971035.0000 , 298.3497,20.1287 , 3.3420,,,<LOD,10.2398,<LOD,58.3918,<LOD,48.7037,84.2302 , 5.3095,24201.6465 , 122.4984,<LOD,0.0000,9.9359 , 2.6462,,,26.7682 , 20.7157,<LOD,1.4156,5.0962 , 0.8007,17.8403 , 5.8068,1802.0731 , 9.9902,<LOD,8.7917,59.2969 , 1.5947,<LOD,0.0000,<LOD,18.3882,<LOD,2.1285,<LOD,11.7702,54.5365 , 0.7634,<LOD,0.0000,<LOD,5.6202,1843.2507 , 164.1483,<LOD,2.0750,<LOD,100.5607,<LOD,8.2410,4.0153 , 1.3663,102.6886 , 4.1875,64.9002 , 1.3122,
3020,Mining,19.19,19.04,,,,"Thu Feb 29, 2024 - 09:39:19",User,1.5,ppm,,,,,LMW12,Mining,<LOD,9.0395,763.0260 , 12.8221,<LOD,8.3484,,,967692.5625 , 331.9644,23.4594 , 3.6242,,,<LOD,10.6885,<LOD,63.3755,<LOD,52.4342,99.2603 , 5.8076,27288.1699 , 132.8941,<LOD,0.0000,10.0172 , 2.7884,,,<LOD,44.0427,<LOD,1.4635,5.0204 , 0.8414,19.2393 , 5.9932,1910.8979 , 10.7039,<LOD,9.1362,63.4317 , 1.7166,<LOD,0.0000,<LOD,19.2512,<LOD,2.8866,<LOD,12.2733,62.5547 , 0.8426,<LOD,0.0000,<LOD,6.1218,1892.2289 , 169.4375,<LOD,2.2418,<LOD,142.5438,<LOD,8.5061,5.6488 , 1.4689,94.6691 , 4.2288,69.8182 , 1.4167,
3021,Mining,20.14,19.60,,,,"Thu Feb 29, 2024 - 09:40:36",User,1.5,ppm,,,,,MM33,Mining,<LOD,9.6104,557.4318 , 20.4985,<LOD,13.4737,,,960705.0625 , 330.3805,39.2411 , 5.4528,,,<LOD,11.3007,<LOD,67.6142,<LOD,46.5732,128.8781 , 6.4176,30826.6602 , 138.2327,<LOD,0.0000,17.4565 , 3.7093,,,36.8673 , 21.7194,<LOD,1.5363,3.0702 , 0.8763,12.0867 , 6.1983,6994.0977 , 19.9094,<LOD,9.7367,9.9551 , 1.2855,<LOD,0.0000,<LOD,20.4179,<LOD,4.1627,34.9592 , 8.8954,10.5344 , 0.5845,<LOD,0.0000,<LOD,10.1580,360.8045 , 131.3739,4.2842 , 1.7608,<LOD,95.9261,<LOD,11.1545,<LOD,3.5940,217.1028 , 5.9924,41.5534 , 1.3751,
3022,Mining,20.02,19.31,,,,"Thu Feb 29, 2024 - 09:41:11",User,1.5,ppm,,,,,MM33,Mining,<LOD,9.7071,554.0477 , 19.7872,<LOD,12.8261,,,962376.8750 , 331.5492,42.2518 , 5.3628,,,<LOD,11.4183,<LOD,68.3326,<LOD,49.4295,133.0256 , 6.6563,30193.8691 , 141.7028,<LOD,0.0000,24.3662 , 3.7773,,,30.9087 , 22.2702,<LOD,1.6985,2.1024 , 0.8685,17.6264 , 6.2626,6033.7051 , 19.1647,<LOD,9.8353,12.8927 , 1.2735,<LOD,0.0000,<LOD,20.7351,<LOD,4.8242,<LOD,13.4546,13.6820 , 0.6092,<LOD,0.0000,<LOD,9.8606,305.1669 , 134.5087,<LOD,2.4518,<LOD,94.5551,<LOD,9.8448,<LOD,3.4837,212.6365 , 6.1038,46.8887 , 1.4163,
3023,Mining,20.01,19.15,,,,"Thu Feb 29, 2024 - 09:41:42",User,1.5,ppm,,,,,MM33,Mining,<LOD,9.5283,501.7963 , 20.5764,<LOD,13.2294,,,961360.5625 , 326.9582,37.8217 , 5.4726,,,<LOD,11.2295,<LOD,68.2091,<LOD,47.2609,115.9267 , 6.3016,30554.7832 , 140.6832,<LOD,0.0000,24.8636 , 3.8514,,,<LOD,34.3774,<LOD,1.5105,3.5147 , 0.8694,19.9391 , 6.3473,6832.6406 , 20.0889,<LOD,9.5844,10.8052 , 1.2618,<LOD,0.0000,<LOD,20.1566,<LOD,3.5353,<LOD,13.1637,12.1390 , 0.6057,<LOD,0.0000,<LOD,10.1695,291.0767 , 131.2399,<LOD,2.4862,<LOD,89.7915,<LOD,10.1102,<LOD,3.6118,197.9222 , 5.8623,36.2505 , 1.3514,
3024,Mining,20.25,19.74,,,,"Thu Feb 29, 2024 - 09:42:59",User,1.5,ppm,,,,,LMW11,Mining,205.2175 , 180.3674,1273.9716 , 57.7942,<LOD,38.2924,,,665151.6250 , 3180.1113,53.6210 , 14.7382,,,<LOD,32.2092,<LOD,252.5346,<LOD,87.8409,499.0847 , 20.3509,311252.2188 , 397.9458,<LOD,0.0000,<LOD,16.8610,,,<LOD,100.9887,10.4573 , 2.1403,11.0548 , 1.9465,101.3784 , 36.5643,17905.5801 , 57.8644,51.6305 , 13.5143,7.9473 , 2.8523,<LOD,0.0000,396.1377 , 322.0613,<LOD,10.7137,810.5322 , 20.0947,10.1286 , 1.4063,<LOD,0.0000,<LOD,27.6070,1422.5012 , 142.1352,<LOD,5.1108,<LOD,145.4828,35.0485 , 19.6237,<LOD,10.7021,761.9069 , 19.2327,39.9996 , 3.0661,
3025,Mining,20.12,19.29,,,,"Thu Feb 29, 2024 - 09:43:29",User,1.5,ppm,,,,,LMW11,Mining,155.8375 , 136.9962,1194.5461 , 52.0146,<LOD,34.2823,,,692777.1875 , 2742.3489,52.1564 , 13.2980,,,<LOD,26.6925,<LOD,232.4236,<LOD,84.7424,425.5903 , 17.8069,285697.3750 , 368.5445,<LOD,0.0000,21.2252 , 8.7378,,,100.3286 , 41.3701,7.2041 , 1.9541,10.7686 , 1.7687,98.3635 , 31.8529,16441.4355 , 51.9891,56.2433 , 12.6938,6.4614 , 2.6122,<LOD,0.0000,308.4509 , 250.8252,<LOD,8.9871,618.3250 , 18.2869,13.5215 , 1.3192,<LOD,0.0000,<LOD,24.7087,1321.2777 , 136.2987,<LOD,5.0174,<LOD,135.7491,<LOD,36.7991,<LOD,9.5067,655.6915 , 16.8075,38.0053 , 2.7648,
3026,Mining,20.24,19.62,,,,"Thu Feb 29, 2024 - 09:44:06",User,1.5,ppm,,,,,LMW11,Mining,195.1553 , 171.5311,1138.4150 , 57.5336,<LOD,37.2514,,,672453.6250 , 3052.6907,31.1295 , 14.3826,,,<LOD,24.8701,<LOD,248.7789,<LOD,88.4002,515.2861 , 20.2830,303419.0000 , 388.4508,<LOD,0.0000,<LOD,13.3216,,,102.5763 , 43.6262,8.4557 , 2.1391,11.4916 , 1.9528,66.4285 , 35.0728,18380.5762 , 57.8761,63.5892 , 13.6572,19.4527 , 3.1039,<LOD,0.0000,378.3598 , 307.6211,<LOD,9.6147,779.6783 , 20.0549,11.1832 , 1.4152,<LOD,0.0000,<LOD,27.8557,1365.4965 , 141.2189,<LOD,5.2566,<LOD,143.7943,<LOD,35.4875,<LOD,10.6825,1005.7789 , 21.5320,54.3048 , 3.2785,
3027,Mining,20.37,19.84,,,,"Thu Feb 29, 2024 - 09:45:17",User,1.5,ppm,,,,,LMW14,Mining,302.7561 , 266.1996,23994.2266 , 87.2407,<LOD,50.8078,,,705466.6250 , 2935.6289,322.4203 , 23.6616,,,64.1482 , 25.6552,<LOD,251.1966,<LOD,96.1641,667.3212 , 23.1002,245782.2188 , 406.4782,<LOD,0.0000,129.6314 , 16.6530,,,<LOD,72.6680,21.8227 , 2.5969,6.2209 , 2.2094,115.0888 , 30.9384,12930.8936 , 52.4716,19.6380 , 13.5249,<LOD,4.9200,<LOD,0.0000,1543.4609 , 36.9844,186.1841 , 10.2217,1723.7316 , 23.1494,9.1841 , 1.3831,<LOD,0.0000,<LOD,35.7178,2050.9648 , 177.3068,13.1436 , 5.2810,<LOD,239.1455,<LOD,56.0060,45.4994 , 6.4726,4541.9585 , 44.7143,62.8549 , 3.9532,
3028,Mining,19.85,19.76,,,,"Thu Feb 29, 2024 - 09:45:46",User,1.5,ppm,,,,,LMW14,Mining,373.5186 , 328.3658,27393.6328 , 92.0343,<LOD,53.9115,,,686500.5000 , 3236.9294,405.2899 , 25.3909,,,120.6518 , 48.2454,<LOD,259.0641,<LOD,99.5657,815.9611 , 25.5899,260500.5312 , 418.2535,<LOD,0.0000,155.6994 , 17.9972,,,58.5524 , 44.4352,25.0167 , 2.6982,8.5217 , 2.2783,133.8989 , 32.9983,11723.1250 , 51.2481,75.6376 , 14.4273,<LOD,5.0645,<LOD,0.0000,1784.8159 , 39.5307,198.7627 , 10.7272,2032.1106 , 24.7582,12.0339 , 1.4276,<LOD,0.0000,<LOD,36.9595,2130.9167 , 177.6971,8.3773 , 5.4003,<LOD,232.7541,<LOD,68.2952,55.8217 , 6.3656,5421.4429 , 49.4465,65.1902 , 4.0222,
3029,Mining,19.76,19.28,,,,"Thu Feb 29, 2024 - 09:46:17",User,1.5,ppm,,,,,LMW14,Mining,350.9975 , 308.5837,24178.2148 , 94.4524,<LOD,56.3834,,,687382.7500 , 3396.4136,305.5033 , 25.4374,,,98.2988 , 39.3091,<LOD,275.0032,<LOD,105.0783,782.5346 , 26.7594,263257.9062 , 440.6006,<LOD,0.0000,180.8385 , 18.8846,,,<LOD,75.1135,23.0252 , 2.8065,4.1351 , 2.3614,150.8228 , 35.4745,12650.3799 , 56.1664,54.2240 , 15.0508,<LOD,6.3453,<LOD,0.0000,1661.6134 , 40.9856,204.6568 , 11.3528,1841.2738 , 25.5949,10.2239 , 1.5187,<LOD,0.0000,<LOD,38.3186,2311.4390 , 191.8880,8.3730 , 5.8261,<LOD,169.3488,<LOD,59.0515,49.8112 , 6.9529,4440.4893 , 47.8779,52.4889 , 4.1615,
3030,Mining,19.68,19.64,,,,"Thu Feb 29, 2024 - 09:47:08",User,1.5,ppm,,,,,LMW15,Mining,3295.2937 , 1172.2684,104471.6953 , 2918.3889,<LOD,3312.3424,,,<LOD,0.0000,1476.3663 , 802.0202,,,3903.2249 , 1367.7762,<LOD,4265.9659,<LOD,3216.7628,2206.1785 , 726.1796,487491.2500 , 4692.3594,<LOD,0.0000,3481.8496 , 735.4676,,,<LOD,3249.4116,<LOD,286.0853,<LOD,271.0329,2009.0227 , 961.5592,333088.4062 , 4331.5610,2698.1221 , 1191.5458,<LOD,350.0254,<LOD,0.0000,19062.5625 , 2595.6804,663.7665 , 379.6333,25038.8027 , 1677.7646,<LOD,185.8420,<LOD,0.0000,<LOD,1629.4219,7679.2812 , 3799.2998,<LOD,581.4466,<LOD,6790.7754,3434.1960 , 1236.3153,<LOD,666.4385,<LOD,919.1926,<LOD,340.2636,
3031,Mining,20.82,19.97,,,,"Thu Feb 29, 2024 - 09:47:40",User,1.5,ppm,,,,,LMW15,Mining,<LOD,845.9954,<LOD,50806.3184,<LOD,328.9756,,,691176.7500 , 603837.3125,<LOD,577.2064,,,<LOD,198.0262,<LOD,411.1485,<LOD,787.4664,<LOD,530.4359,<LOD,720912.6562,<LOD,0.0000,<LOD,447.5508,,,<LOD,404.7620,<LOD,18.4018,<LOD,85.7847,<LOD,368.9513,<LOD,87554.1562,<LOD,68.0465,<LOD,8.6117,<LOD,0.0000,<LOD,3054.7687,<LOD,99.0068,1359.5737 , 1213.6354,<LOD,3.6174,<LOD,0.0000,<LOD,61.7486,<LOD,14833.0415,<LOD,3.5324,<LOD,504.6837,<LOD,157.5886,<LOD,6.4251,<LOD,223.5825,<LOD,7.9056,
3032,Mining,20.24,19.57,,,,"Thu Feb 29, 2024 - 09:48:18",User,1.5,ppm,,,,,LMW15,Mining,<LOD,801.0701,<LOD,45183.6621,<LOD,75.8365,,,716057.7500 , 571150.8125,<LOD,937.3672,,,<LOD,82.0000,<LOD,366.8577,<LOD,37.8585,<LOD,511.1263,<LOD,677307.0000,<LOD,0.0000,<LOD,561.9612,,,<LOD,559.7263,<LOD,21.5178,<LOD,83.6899,<LOD,335.5843,<LOD,89581.4062,<LOD,16.4156,<LOD,7.7866,<LOD,0.0000,<LOD,2971.9363,<LOD,144.4242,1161.1218 , 1107.7512,<LOD,3.1354,<LOD,0.0000,<LOD,55.7375,<LOD,14542.1118,<LOD,2.7714,<LOD,1056.9851,<LOD,105.1562,<LOD,4.8956,<LOD,224.8584,<LOD,7.0872,
3033,Mining,19.38,19.18,,,,"Thu Feb 29, 2024 - 09:49:10",User,1.5,ppm,,,,,LMW15,Mining,<LOD,754.4113,<LOD,67128.3223,<LOD,78.3849,,,669154.6875 , 605320.1250,<LOD,901.2451,,,109.8184 , 106.0147,<LOD,377.9337,<LOD,53.2098,<LOD,486.8544,<LOD,726510.9375,<LOD,0.0000,<LOD,312.9458,,,<LOD,589.5373,<LOD,20.0345,<LOD,55.6785,<LOD,137.2584,48165.1133 , 45984.0234,<LOD,27.4311,<LOD,7.8678,<LOD,0.0000,<LOD,3002.7924,<LOD,154.8100,1414.8995 , 1094.6108,<LOD,3.1796,<LOD,0.0000,<LOD,58.2498,<LOD,15060.8569,<LOD,4.1157,<LOD,464.1863,<LOD,108.4130,<LOD,7.5481,<LOD,255.9172,<LOD,7.6225,
3034,Mining,19.23,18.97,,,,"Thu Feb 29, 2024 - 09:50:01",User,1.5,ppm,,,,,LMW15,Mining,541.4324 , 475.7982,39960.7891 , 195.7003,344.8559 , 88.4260,,,631910.0000 , 5556.2896,1010.2877 , 56.0522,,,268.2654 , 107.2308,<LOD,341.3450,121.3275 , 73.7269,402.4260 , 24.3023,198615.0625 , 546.2645,<LOD,0.0000,235.3333 , 32.6529,,,143.3351 , 61.7266,24.5854 , 4.3945,60.9415 , 5.3142,128.2106 , 33.7607,116306.6641 , 198.7155,<LOD,47.4402,<LOD,16.2753,<LOD,0.0000,2475.5676 , 62.8538,106.5990 , 22.8794,3258.6958 , 40.9153,<LOD,6.7001,<LOD,0.0000,<LOD,107.7852,3670.9988 , 300.3449,<LOD,20.8314,239.7020 , 128.3161,<LOD,69.4198,<LOD,39.4348,174.9212 , 16.0660,<LOD,16.4534,
3035,Mining,18.93,18.76,,,,"Thu Feb 29, 2024 - 09:50:45",User,1.5,ppm,,,,,LMW15,Mining,480.0699 , 421.9417,25273.6445 , 165.3490,<LOD,111.9836,,,697508.0625 , 3939.0947,658.8738 , 46.0020,,,188.6896 , 75.4349,<LOD,300.6034,<LOD,224.9438,270.2469 , 20.0774,169315.6094 , 501.5692,<LOD,0.0000,249.8265 , 27.7578,,,96.4331 , 55.9417,18.3960 , 3.6505,67.6206 , 4.3303,118.3777 , 29.6047,97274.2188 , 171.1236,53.7178 , 19.1282,<LOD,13.4471,<LOD,0.0000,1798.2402 , 52.9066,111.4611 , 19.2063,3133.5168 , 36.7209,<LOD,5.6136,<LOD,0.0000,<LOD,88.8631,2954.4863 , 277.3178,<LOD,16.9578,220.1104 , 120.9451,59.3875 , 25.4168,<LOD,33.0070,149.0385 , 13.9581,<LOD,13.4582,
